TimeStamp,Value
Thu Apr 09 08:50:03 CDT 2015,2.625
Thu Apr 09 08:50:04 CDT 2015,0.453125
Thu Apr 09 08:50:05 CDT 2015,0.3997395833333333
Thu Apr 09 08:50:06 CDT 2015,0.3333333333333333
Thu Apr 09 08:50:07 CDT 2015,0.509765625
Thu Apr 09 08:50:08 CDT 2015,0.2880859375
Thu Apr 09 08:50:09 CDT 2015,0.41015625
Thu Apr 09 08:50:10 CDT 2015,0.84765625
Thu Apr 09 08:50:12 CDT 2015,1.0625
Thu Apr 09 08:50:13 CDT 2015,0.79296875
Thu Apr 09 08:50:16 CDT 2015,1.140625
Thu Apr 09 08:50:17 CDT 2015,0.3984375
Thu Apr 09 08:50:20 CDT 2015,1.677734375
Thu Apr 09 08:50:21 CDT 2015,0.26953125
Thu Apr 09 08:50:22 CDT 2015,0.353515625
Thu Apr 09 08:50:23 CDT 2015,0.515625
Thu Apr 09 08:50:24 CDT 2015,1.87890625
Thu Apr 09 08:50:25 CDT 2015,0.380859375
Thu Apr 09 08:50:26 CDT 2015,0.4609375
Thu Apr 09 08:50:28 CDT 2015,2.7578125
