TimeStamp,Athelete,activity,breathingrate,breathingratestatus,cadence,expiration,heartrate,heartratestatus,inspiration,minuteventilation,rrinterval,tidalvolume,
Thu Apr 09 08:36:31 CDT 2015,1006,0.04296875,19,0,0,null,169,48,null,8379.68,null,398.4,
Thu Apr 09 08:36:32 CDT 2015,1006,0.015625,19,0,0,null,169,32,24487,9030.4,null,637.4399999999999,
Thu Apr 09 08:36:33 CDT 2015,1006,0.0,19,0,0,24461,70,32,null,9030.4,null,637.4399999999999,
Thu Apr 09 08:36:34 CDT 2015,1006,0.0,19,0,0,null,70,32,null,9056.96,null,332.0,
Thu Apr 09 08:36:35 CDT 2015,1006,0.015625,21,0,0,null,70,32,null,9056.96,null,332.0,
Thu Apr 09 08:36:36 CDT 2015,1006,0.015625,22,0,0,null,70,32,null,9056.96,null,332.0,
Thu Apr 09 08:36:37 CDT 2015,1006,0.015625,22,0,0,null,70,34,24493,9056.96,null,332.0,
Thu Apr 09 08:36:38 CDT 2015,1006,0.0,22,0,0,24463,70,34,null,9056.96,null,332.0,
Thu Apr 09 08:36:39 CDT 2015,1006,0.0,21,0,0,null,70,34,null,8791.359999999999,null,385.12,
Thu Apr 09 08:36:40 CDT 2015,1006,0.03125,21,0,0,null,70,34,24489,8791.359999999999,null,385.12,
Thu Apr 09 08:36:41 CDT 2015,1006,0.0234375,20,0,0,24462,70,34,null,8791.359999999999,null,385.12,
Thu Apr 09 08:36:42 CDT 2015,1006,0.0234375,20,0,0,null,70,34,null,8392.96,null,358.56,
Thu Apr 09 08:36:43 CDT 2015,1006,0.05078125,19,0,0,null,70,34,24498,8392.96,null,358.56,
Thu Apr 09 08:36:44 CDT 2015,1006,0.0234375,19,0,0,24461,70,34,null,8392.96,null,358.56,
Thu Apr 09 08:36:45 CDT 2015,1006,0.03125,19,0,0,null,70,34,null,8286.72,null,478.08,
Thu Apr 09 08:36:46 CDT 2015,1006,0.02734375,19,0,0,null,70,34,24497,8286.72,null,478.08,
Thu Apr 09 08:36:47 CDT 2015,1006,0.0234375,19,0,0,24467,70,34,null,8286.72,null,478.08,
Thu Apr 09 08:36:48 CDT 2015,1006,0.015625,19,0,0,null,70,32,24496,8260.16,null,385.12,
Thu Apr 09 08:36:49 CDT 2015,1006,0.01953125,19,0,0,24462,70,32,null,8260.16,null,385.12,
Thu Apr 09 08:36:50 CDT 2015,1006,0.02734375,19,0,0,null,70,48,null,8260.16,null,385.12,
Thu Apr 09 08:36:51 CDT 2015,1006,0.046875,19,0,0,null,70,32,24490,8326.56,null,438.23999999999995,
Thu Apr 09 08:36:52 CDT 2015,1006,0.1484375,19,0,0,24447,70,48,null,8326.56,null,438.23999999999995,
Thu Apr 09 08:36:53 CDT 2015,1006,0.046875,19,0,0,null,70,48,null,8313.279999999999,null,557.76,
Thu Apr 09 08:36:54 CDT 2015,1006,0.109375,20,0,0,null,70,48,24500,8313.279999999999,null,557.76,
Thu Apr 09 08:36:55 CDT 2015,1006,0.19921875,20,0,0,24441,70,48,null,8313.279999999999,null,557.76,
Thu Apr 09 08:36:56 CDT 2015,1006,0.3203125,20,0,0,null,70,48,24478,9189.76,null,770.24,
Thu Apr 09 08:36:57 CDT 2015,1006,0.28515625,19,0,0,24451,70,48,null,9189.76,null,770.24,
Thu Apr 09 08:36:58 CDT 2015,1006,0.19140625,19,0,0,null,70,48,null,10438.08,null,345.28,
Thu Apr 09 08:36:59 CDT 2015,1006,0.21484375,21,0,0,null,70,48,24488,10438.08,null,345.28,
Thu Apr 09 08:37:00 CDT 2015,1006,0.25390625,22,0,0,24431,70,48,null,10438.08,null,345.28,
Thu Apr 09 08:37:01 CDT 2015,1006,0.6171875,22,0,0,null,70,56,24483,12071.519999999999,null,743.68,
Thu Apr 09 08:37:02 CDT 2015,1006,1.09375,22,0,43,24420,70,56,null,12071.519999999999,null,743.68,
Thu Apr 09 08:37:03 CDT 2015,1006,1.3203125,23,0,90,24420,70,56,24460,13731.519999999999,null,823.36,
Thu Apr 09 08:37:04 CDT 2015,1006,1.171875,23,0,148,null,70,56,24469,15325.119999999999,null,531.1999999999999,
Thu Apr 09 08:37:05 CDT 2015,1006,1.14453125,25,0,190,24421,70,56,null,15325.119999999999,null,531.1999999999999,
Thu Apr 09 08:37:06 CDT 2015,1006,0.5546875,26,0,196,null,70,48,24482,17489.76,null,637.4399999999999,
Thu Apr 09 08:37:07 CDT 2015,1006,0.359375,27,0,179,24461,70,56,null,17489.76,null,637.4399999999999,
Thu Apr 09 08:37:08 CDT 2015,1006,0.26171875,28,0,156,null,70,48,null,15829.759999999998,null,265.59999999999997,
Thu Apr 09 08:37:09 CDT 2015,1006,0.09765625,27,0,132,null,70,48,24500,15829.759999999998,null,265.59999999999997,
Thu Apr 09 08:37:10 CDT 2015,1006,0.0234375,27,0,91,24470,70,32,null,15829.759999999998,null,265.59999999999997,
Thu Apr 09 08:37:11 CDT 2015,1006,0.01953125,27,0,35,null,70,32,null,15829.759999999998,null,265.59999999999997,
Thu Apr 09 08:37:12 CDT 2015,1006,0.015625,27,0,0,null,70,32,24507,14103.359999999999,null,385.12,
Thu Apr 09 08:37:13 CDT 2015,1006,0.0546875,26,0,0,24462,70,48,null,14103.359999999999,null,385.12,
Thu Apr 09 08:37:14 CDT 2015,1006,0.0703125,26,0,0,null,70,48,null,14103.359999999999,null,385.12,
Thu Apr 09 08:37:15 CDT 2015,1006,0.1015625,26,0,0,null,70,48,24501,14820.48,null,584.3199999999999,
Thu Apr 09 08:37:16 CDT 2015,1006,0.03125,26,0,0,24470,70,32,null,14820.48,null,584.3199999999999,
Thu Apr 09 08:37:17 CDT 2015,1006,0.05859375,26,0,0,null,70,32,24516,13240.16,null,398.4,
Thu Apr 09 08:37:18 CDT 2015,1006,0.2109375,26,0,0,24469,70,48,null,13240.16,null,398.4,
Thu Apr 09 08:37:19 CDT 2015,1006,0.30859375,26,0,0,null,70,48,null,12549.599999999999,null,610.88,
Thu Apr 09 08:37:20 CDT 2015,1006,0.21875,26,0,30,null,70,48,24511,12549.599999999999,null,610.88,
Thu Apr 09 08:37:21 CDT 2015,1006,0.1015625,26,0,34,24478,70,48,null,12549.599999999999,null,610.88,
Thu Apr 09 08:37:22 CDT 2015,1006,0.03515625,25,0,0,null,70,48,24503,11102.08,null,424.96,
Thu Apr 09 08:37:23 CDT 2015,1006,0.01953125,24,0,0,24486,70,32,null,11102.08,null,424.96,
Thu Apr 09 08:37:24 CDT 2015,1006,0.0,24,0,0,null,70,32,24509,11102.08,null,424.96,
Thu Apr 09 08:37:25 CDT 2015,1006,0.0234375,23,0,0,null,70,32,null,9149.92,null,212.48,
Thu Apr 09 08:37:26 CDT 2015,1006,0.04296875,22,0,0,24470,70,48,null,9149.92,null,212.48,
Thu Apr 09 08:37:27 CDT 2015,1006,0.07421875,22,0,0,null,70,48,24495,10119.359999999999,null,517.92,
Thu Apr 09 08:37:28 CDT 2015,1006,0.10546875,22,0,0,24462,70,48,null,10119.359999999999,null,517.92,
Thu Apr 09 08:37:29 CDT 2015,1006,0.0703125,23,0,0,null,70,48,24488,11221.6,null,424.96,
Thu Apr 09 08:37:30 CDT 2015,1006,0.06640625,24,0,0,24465,70,48,null,11221.6,null,424.96,
Thu Apr 09 08:37:31 CDT 2015,1006,0.015625,25,0,0,null,70,48,null,11221.6,null,424.96,
Thu Apr 09 08:37:32 CDT 2015,1006,0.01953125,25,0,0,null,70,32,24492,10092.8,null,292.15999999999997,
Thu Apr 09 08:37:33 CDT 2015,1006,0.015625,25,0,0,24472,70,32,null,10092.8,null,292.15999999999997,
Thu Apr 09 08:37:34 CDT 2015,1006,0.015625,25,0,0,null,70,32,null,9667.84,null,252.32,
Thu Apr 09 08:37:35 CDT 2015,1006,0.015625,25,0,0,null,70,32,24497,9667.84,null,252.32,
Thu Apr 09 08:37:36 CDT 2015,1006,0.015625,25,0,0,24471,70,32,null,9667.84,null,252.32,
Thu Apr 09 08:37:37 CDT 2015,1006,0.0234375,25,0,0,null,70,32,null,9667.84,null,252.32,
Thu Apr 09 08:37:38 CDT 2015,1006,0.03515625,24,0,0,null,70,48,24513,7954.719999999999,null,332.0,
Thu Apr 09 08:37:39 CDT 2015,1006,0.02734375,23,0,0,24469,70,48,null,7954.719999999999,null,332.0,
Thu Apr 09 08:37:40 CDT 2015,1006,0.02734375,23,0,0,null,70,32,null,8645.279999999999,null,571.04,
Thu Apr 09 08:37:41 CDT 2015,1006,0.12109375,23,0,0,24467,70,32,24504,8645.279999999999,null,571.04,
Thu Apr 09 08:37:42 CDT 2015,1006,0.15625,23,0,0,null,70,48,null,9840.48,null,491.35999999999996,
Thu Apr 09 08:37:43 CDT 2015,1006,0.1796875,24,0,0,null,70,48,24520,9840.48,null,491.35999999999996,
Thu Apr 09 08:37:44 CDT 2015,1006,0.26171875,24,0,0,24462,70,48,24497,9840.48,null,491.35999999999996,
Thu Apr 09 08:37:45 CDT 2015,1006,0.375,24,0,0,24475,70,48,24498,10371.68,null,756.9599999999999,
Thu Apr 09 08:37:46 CDT 2015,1006,0.4140625,24,0,0,24471,70,48,null,10570.88,null,278.88,
Thu Apr 09 08:37:47 CDT 2015,1006,0.40234375,25,0,0,null,70,48,24512,11845.76,null,345.28,
Thu Apr 09 08:37:48 CDT 2015,1006,0.37890625,26,0,57,24473,70,48,null,11845.76,null,345.28,
Thu Apr 09 08:37:49 CDT 2015,1006,0.35546875,27,0,111,null,70,48,24512,13133.92,null,504.64,
Thu Apr 09 08:37:50 CDT 2015,1006,0.33203125,28,0,139,24469,70,48,null,13133.92,null,504.64,
Thu Apr 09 08:37:51 CDT 2015,1006,0.37109375,28,0,142,null,70,48,null,13133.92,null,504.64,
Thu Apr 09 08:37:52 CDT 2015,1006,0.2890625,28,0,137,null,70,48,24507,15072.8,null,557.76,
Thu Apr 09 08:37:53 CDT 2015,1006,0.1171875,29,0,133,24473,70,48,null,15072.8,null,557.76,
Thu Apr 09 08:37:54 CDT 2015,1006,0.0546875,30,0,123,null,70,48,null,14276.0,null,438.23999999999995,
Thu Apr 09 08:37:55 CDT 2015,1006,0.13671875,30,0,87,24502,70,48,24516,14276.0,null,438.23999999999995,
Thu Apr 09 08:37:56 CDT 2015,1006,0.12890625,30,0,34,null,70,48,24523,13133.92,null,172.64,
Thu Apr 09 08:37:57 CDT 2015,1006,0.03125,30,0,0,24495,70,48,null,13133.92,null,172.64,
Thu Apr 09 08:37:58 CDT 2015,1006,0.03125,30,0,0,null,70,32,null,13133.92,null,172.64,
