TimeStamp,Athelete,activity,breathingrate,breathingratestatus,cadence,expiration,heartrate,heartratestatus,inspiration,minuteventilation,rrinterval,tidalvolume,
Thu Apr 09 08:34:46 CDT 2015,1006,0.17578125,19,0,0,24487,70,48,null,11965.279999999999,null,318.71999999999997,
Thu Apr 09 08:34:47 CDT 2015,1006,0.1640625,19,0,0,null,70,48,24506,13837.76,null,717.12,
Thu Apr 09 08:34:48 CDT 2015,1006,0.15625,20,0,0,24306,70,48,null,13837.76,null,717.12,
Thu Apr 09 08:34:49 CDT 2015,1006,0.14453125,20,0,0,null,70,48,null,21832.32,null,2642.72,
Thu Apr 09 08:34:50 CDT 2015,1006,0.23828125,21,0,0,null,70,32,null,21832.32,null,2642.72,
Thu Apr 09 08:34:51 CDT 2015,1006,0.125,22,0,0,24520,70,48,24540,21832.32,null,2642.72,
Thu Apr 09 08:34:52 CDT 2015,1006,0.09765625,22,0,0,null,70,48,24544,22230.719999999998,null,252.32,
Thu Apr 09 08:34:53 CDT 2015,1006,0.08203125,22,0,0,24501,70,48,null,22230.719999999998,null,252.32,
Thu Apr 09 08:34:54 CDT 2015,1006,0.03125,23,0,0,null,70,48,null,24647.68,null,571.04,
Thu Apr 09 08:34:55 CDT 2015,1006,0.0234375,24,0,0,null,70,32,24550,24647.68,null,571.04,
Thu Apr 09 08:34:56 CDT 2015,1006,0.06640625,25,0,0,24518,70,48,null,24647.68,null,571.04,
Thu Apr 09 08:34:57 CDT 2015,1006,0.0234375,25,0,0,null,70,48,null,24647.68,null,571.04,
Thu Apr 09 08:34:58 CDT 2015,1006,0.0,25,0,0,null,70,32,null,24647.68,null,571.04,
Thu Apr 09 08:34:59 CDT 2015,1006,0.0234375,24,0,0,null,70,32,null,20012.96,null,424.96,
Thu Apr 09 08:35:00 CDT 2015,1006,0.078125,23,0,0,null,70,32,24558,20012.96,null,424.96,
Thu Apr 09 08:35:01 CDT 2015,1006,0.08203125,21,0,0,null,70,48,null,20012.96,null,424.96,
Thu Apr 09 08:35:02 CDT 2015,1006,0.15625,21,0,0,null,145,48,null,20012.96,null,424.96,
Thu Apr 09 08:35:03 CDT 2015,1006,0.1796875,21,0,0,24368,145,48,24403,20012.96,null,424.96,
Thu Apr 09 08:35:04 CDT 2015,1006,0.0390625,21,0,0,24365,145,48,null,19707.52,null,2509.92,
Thu Apr 09 08:35:05 CDT 2015,1006,0.21484375,20,0,0,null,145,32,null,23133.76,null,491.35999999999996,
Thu Apr 09 08:35:06 CDT 2015,1006,0.15234375,20,0,0,null,145,48,24546,23133.76,null,491.35999999999996,
Thu Apr 09 08:35:07 CDT 2015,1006,0.0625,21,0,0,24475,145,48,null,23133.76,null,491.35999999999996,
Thu Apr 09 08:35:08 CDT 2015,1006,0.01953125,21,0,0,null,145,32,null,22336.96,null,929.5999999999999,
Thu Apr 09 08:35:09 CDT 2015,1006,0.171875,20,0,0,null,145,32,24549,22336.96,null,929.5999999999999,
Thu Apr 09 08:35:10 CDT 2015,1006,0.03125,20,0,0,24523,145,48,null,22336.96,null,929.5999999999999,
Thu Apr 09 08:35:11 CDT 2015,1006,0.03515625,19,0,0,null,145,48,24541,14979.84,null,345.28,
Thu Apr 09 08:35:12 CDT 2015,1006,0.0,19,0,0,24515,145,32,null,14979.84,null,345.28,
Thu Apr 09 08:35:13 CDT 2015,1006,0.015625,19,0,0,null,145,32,null,14979.84,null,345.28,
Thu Apr 09 08:35:14 CDT 2015,1006,0.03515625,19,0,0,null,145,32,24545,15444.64,null,345.28,
Thu Apr 09 08:35:15 CDT 2015,1006,0.01953125,19,0,0,24522,145,32,null,15444.64,null,345.28,
Thu Apr 09 08:35:16 CDT 2015,1006,0.02734375,19,0,0,null,145,32,24541,15444.64,null,345.28,
Thu Apr 09 08:35:17 CDT 2015,1006,0.03125,19,0,0,null,145,32,null,13930.72,null,292.15999999999997,
Thu Apr 09 08:35:18 CDT 2015,1006,0.02734375,19,0,0,24523,70,32,null,13930.72,null,292.15999999999997,
Thu Apr 09 08:35:19 CDT 2015,1006,0.0234375,19,0,0,null,70,32,24558,15670.4,null,225.76,
