TimeStamp,Value
Thu Apr 09 08:38:31 CDT 2015,48
Thu Apr 09 08:38:32 CDT 2015,32
Thu Apr 09 08:38:33 CDT 2015,48
Thu Apr 09 08:38:34 CDT 2015,32
Thu Apr 09 08:38:35 CDT 2015,48
Thu Apr 09 08:38:36 CDT 2015,32
Thu Apr 09 08:38:37 CDT 2015,32
Thu Apr 09 08:38:38 CDT 2015,32
Thu Apr 09 08:38:39 CDT 2015,32
Thu Apr 09 08:38:40 CDT 2015,32
Thu Apr 09 08:38:41 CDT 2015,32
Thu Apr 09 08:38:42 CDT 2015,32
Thu Apr 09 08:38:43 CDT 2015,32
Thu Apr 09 08:38:44 CDT 2015,32
Thu Apr 09 08:38:45 CDT 2015,32
Thu Apr 09 08:38:46 CDT 2015,32
Thu Apr 09 08:38:47 CDT 2015,32
Thu Apr 09 08:38:48 CDT 2015,32
Thu Apr 09 08:38:49 CDT 2015,32
Thu Apr 09 08:38:50 CDT 2015,48
Thu Apr 09 08:38:51 CDT 2015,48
Thu Apr 09 08:38:52 CDT 2015,48
Thu Apr 09 08:38:53 CDT 2015,48
Thu Apr 09 08:38:54 CDT 2015,48
Thu Apr 09 08:38:55 CDT 2015,48
Thu Apr 09 08:38:56 CDT 2015,16
Thu Apr 09 08:38:57 CDT 2015,16
Thu Apr 09 08:38:58 CDT 2015,0
Thu Apr 09 08:38:59 CDT 2015,32
Thu Apr 09 08:39:00 CDT 2015,32
Thu Apr 09 08:39:01 CDT 2015,32
Thu Apr 09 08:39:02 CDT 2015,32
Thu Apr 09 08:39:03 CDT 2015,32
Thu Apr 09 08:39:04 CDT 2015,32
Thu Apr 09 08:39:05 CDT 2015,32
Thu Apr 09 08:39:06 CDT 2015,32
Thu Apr 09 08:39:07 CDT 2015,32
Thu Apr 09 08:39:08 CDT 2015,32
Thu Apr 09 08:39:09 CDT 2015,48
Thu Apr 09 08:39:10 CDT 2015,32
Thu Apr 09 08:39:11 CDT 2015,32
Thu Apr 09 08:39:12 CDT 2015,32
Thu Apr 09 08:39:13 CDT 2015,32
Thu Apr 09 08:39:14 CDT 2015,32
Thu Apr 09 08:39:15 CDT 2015,32
Thu Apr 09 08:39:16 CDT 2015,32
Thu Apr 09 08:39:17 CDT 2015,32
Thu Apr 09 08:39:18 CDT 2015,32
Thu Apr 09 08:39:19 CDT 2015,32
Thu Apr 09 08:39:20 CDT 2015,32
Thu Apr 09 08:39:21 CDT 2015,32
Thu Apr 09 08:39:22 CDT 2015,48
Thu Apr 09 08:39:23 CDT 2015,32
Thu Apr 09 08:39:24 CDT 2015,48
Thu Apr 09 08:39:25 CDT 2015,48
Thu Apr 09 08:39:26 CDT 2015,48
Thu Apr 09 08:39:27 CDT 2015,32
Thu Apr 09 08:39:28 CDT 2015,48
Thu Apr 09 08:39:29 CDT 2015,48
Thu Apr 09 08:39:30 CDT 2015,48
Thu Apr 09 08:39:31 CDT 2015,32
Thu Apr 09 08:39:32 CDT 2015,32
Thu Apr 09 08:39:33 CDT 2015,32
Thu Apr 09 08:39:34 CDT 2015,32
Thu Apr 09 08:39:35 CDT 2015,48
Thu Apr 09 08:39:36 CDT 2015,32
Thu Apr 09 08:39:37 CDT 2015,32
Thu Apr 09 08:39:38 CDT 2015,32
Thu Apr 09 08:39:39 CDT 2015,32
Thu Apr 09 08:39:40 CDT 2015,32
Thu Apr 09 08:39:41 CDT 2015,32
Thu Apr 09 08:39:42 CDT 2015,32
Thu Apr 09 08:39:43 CDT 2015,32
Thu Apr 09 08:39:44 CDT 2015,32
Thu Apr 09 08:39:45 CDT 2015,32
Thu Apr 09 08:39:46 CDT 2015,48
Thu Apr 09 08:39:47 CDT 2015,32
Thu Apr 09 08:39:48 CDT 2015,32
Thu Apr 09 08:39:49 CDT 2015,48
Thu Apr 09 08:39:50 CDT 2015,32
Thu Apr 09 08:39:51 CDT 2015,32
Thu Apr 09 08:39:52 CDT 2015,32
Thu Apr 09 08:39:53 CDT 2015,32
Thu Apr 09 08:39:54 CDT 2015,32
Thu Apr 09 08:39:55 CDT 2015,48
Thu Apr 09 08:39:56 CDT 2015,32
Thu Apr 09 08:39:57 CDT 2015,32
Thu Apr 09 08:39:58 CDT 2015,32
Thu Apr 09 08:39:59 CDT 2015,32
Thu Apr 09 08:40:00 CDT 2015,32
Thu Apr 09 08:40:01 CDT 2015,32
Thu Apr 09 08:40:02 CDT 2015,32
Thu Apr 09 08:40:03 CDT 2015,32
Thu Apr 09 08:40:04 CDT 2015,48
Thu Apr 09 08:40:05 CDT 2015,32
Thu Apr 09 08:40:06 CDT 2015,32
Thu Apr 09 08:40:07 CDT 2015,32
Thu Apr 09 08:40:08 CDT 2015,48
Thu Apr 09 08:40:09 CDT 2015,32
Thu Apr 09 08:40:10 CDT 2015,48
Thu Apr 09 08:40:11 CDT 2015,48
Thu Apr 09 08:40:12 CDT 2015,48
Thu Apr 09 08:40:13 CDT 2015,56
Thu Apr 09 08:40:14 CDT 2015,48
Thu Apr 09 08:40:15 CDT 2015,48
Thu Apr 09 08:40:16 CDT 2015,48
Thu Apr 09 08:40:17 CDT 2015,48
Thu Apr 09 08:40:18 CDT 2015,48
Thu Apr 09 08:40:19 CDT 2015,32
Thu Apr 09 08:40:20 CDT 2015,32
Thu Apr 09 08:40:21 CDT 2015,32
Thu Apr 09 08:40:22 CDT 2015,32
Thu Apr 09 08:40:23 CDT 2015,32
Thu Apr 09 08:40:24 CDT 2015,32
Thu Apr 09 08:40:25 CDT 2015,32
Thu Apr 09 08:40:26 CDT 2015,32
Thu Apr 09 08:40:27 CDT 2015,32
Thu Apr 09 08:40:28 CDT 2015,32
Thu Apr 09 08:40:29 CDT 2015,32
Thu Apr 09 08:40:30 CDT 2015,32
Thu Apr 09 08:40:31 CDT 2015,32
Thu Apr 09 08:40:32 CDT 2015,32
Thu Apr 09 08:40:33 CDT 2015,32
Thu Apr 09 08:40:34 CDT 2015,32
Thu Apr 09 08:40:35 CDT 2015,32
Thu Apr 09 08:40:36 CDT 2015,34
Thu Apr 09 08:40:37 CDT 2015,34
Thu Apr 09 08:40:38 CDT 2015,34
Thu Apr 09 08:40:39 CDT 2015,34
Thu Apr 09 08:40:40 CDT 2015,34
Thu Apr 09 08:40:41 CDT 2015,34
Thu Apr 09 08:40:42 CDT 2015,34
Thu Apr 09 08:40:43 CDT 2015,34
Thu Apr 09 08:40:44 CDT 2015,34
Thu Apr 09 08:40:45 CDT 2015,34
Thu Apr 09 08:40:46 CDT 2015,34
Thu Apr 09 08:40:47 CDT 2015,34
Thu Apr 09 08:40:48 CDT 2015,34
Thu Apr 09 08:40:49 CDT 2015,34
Thu Apr 09 08:40:50 CDT 2015,34
Thu Apr 09 08:40:51 CDT 2015,34
Thu Apr 09 08:40:52 CDT 2015,34
Thu Apr 09 08:40:53 CDT 2015,34
Thu Apr 09 08:40:54 CDT 2015,34
Thu Apr 09 08:40:55 CDT 2015,34
Thu Apr 09 08:40:56 CDT 2015,34
Thu Apr 09 08:40:57 CDT 2015,34
Thu Apr 09 08:40:58 CDT 2015,34
Thu Apr 09 08:40:59 CDT 2015,34
Thu Apr 09 08:41:00 CDT 2015,34
Thu Apr 09 08:41:01 CDT 2015,34
Thu Apr 09 08:41:02 CDT 2015,34
Thu Apr 09 08:41:03 CDT 2015,34
Thu Apr 09 08:41:04 CDT 2015,34
Thu Apr 09 08:41:05 CDT 2015,34
Thu Apr 09 08:41:06 CDT 2015,34
Thu Apr 09 08:41:07 CDT 2015,34
Thu Apr 09 08:41:08 CDT 2015,34
Thu Apr 09 08:41:09 CDT 2015,34
Thu Apr 09 08:41:10 CDT 2015,34
Thu Apr 09 08:41:11 CDT 2015,34
Thu Apr 09 08:41:12 CDT 2015,34
Thu Apr 09 08:41:13 CDT 2015,34
Thu Apr 09 08:41:14 CDT 2015,34
Thu Apr 09 08:41:15 CDT 2015,34
Thu Apr 09 08:41:16 CDT 2015,34
