TimeStamp,Value
Thu Apr 09 08:43:14 CDT 2015,24313
Thu Apr 09 08:43:20 CDT 2015,24336
Thu Apr 09 08:43:27 CDT 2015,24331
Thu Apr 09 08:43:33 CDT 2015,24212
Thu Apr 09 08:43:41 CDT 2015,24316
Thu Apr 09 08:43:55 CDT 2015,24305
Thu Apr 09 08:44:01 CDT 2015,23818
Thu Apr 09 08:44:09 CDT 2015,23614
Thu Apr 09 08:44:17 CDT 2015,23786
Thu Apr 09 08:44:23 CDT 2015,23766
Thu Apr 09 08:44:28 CDT 2015,23957
Thu Apr 09 08:44:33 CDT 2015,23707
Thu Apr 09 08:44:38 CDT 2015,23879
Thu Apr 09 08:44:41 CDT 2015,24036
Thu Apr 09 08:44:44 CDT 2015,24322
Thu Apr 09 08:45:12 CDT 2015,24365
Thu Apr 09 08:45:28 CDT 2015,24430
Thu Apr 09 08:45:34 CDT 2015,24348
Thu Apr 09 08:46:03 CDT 2015,24444
Thu Apr 09 08:46:20 CDT 2015,24472
Thu Apr 09 08:46:32 CDT 2015,24457
Thu Apr 09 08:46:39 CDT 2015,24494
Thu Apr 09 08:46:48 CDT 2015,24511
Thu Apr 09 08:46:55 CDT 2015,24483
Thu Apr 09 08:47:04 CDT 2015,24489
Thu Apr 09 08:47:09 CDT 2015,24505
Thu Apr 09 08:47:13 CDT 2015,24505
Thu Apr 09 08:47:17 CDT 2015,24494
Thu Apr 09 08:47:20 CDT 2015,24511
Thu Apr 09 08:47:23 CDT 2015,24508
Thu Apr 09 08:47:27 CDT 2015,24496
Thu Apr 09 08:47:30 CDT 2015,24497
Thu Apr 09 08:47:33 CDT 2015,24511
Thu Apr 09 08:47:36 CDT 2015,24506
Thu Apr 09 08:47:38 CDT 2015,24480
Thu Apr 09 08:47:40 CDT 2015,24491
Thu Apr 09 08:47:43 CDT 2015,24486
Thu Apr 09 08:47:46 CDT 2015,24499
Thu Apr 09 08:47:49 CDT 2015,24515
Thu Apr 09 08:47:52 CDT 2015,24502
Thu Apr 09 08:47:55 CDT 2015,24482
Thu Apr 09 08:47:59 CDT 2015,24487
Thu Apr 09 08:48:01 CDT 2015,24483
Thu Apr 09 08:48:04 CDT 2015,24486
Thu Apr 09 08:48:07 CDT 2015,24223
Thu Apr 09 08:48:10 CDT 2015,24468
Thu Apr 09 08:48:13 CDT 2015,24433
Thu Apr 09 08:48:18 CDT 2015,24464
Thu Apr 09 08:48:21 CDT 2015,24449
Thu Apr 09 08:48:22 CDT 2015,24426
Thu Apr 09 08:48:26 CDT 2015,24477
Thu Apr 09 08:48:28 CDT 2015,24478
Thu Apr 09 08:48:31 CDT 2015,24367
Thu Apr 09 08:48:33 CDT 2015,24469
Thu Apr 09 08:48:37 CDT 2015,24464
Thu Apr 09 08:48:41 CDT 2015,24407
Thu Apr 09 08:48:46 CDT 2015,24490
Thu Apr 09 08:48:48 CDT 2015,24477
Thu Apr 09 08:48:50 CDT 2015,24475
Thu Apr 09 08:48:55 CDT 2015,24476
Thu Apr 09 08:48:58 CDT 2015,24492
Thu Apr 09 08:49:00 CDT 2015,24469
Thu Apr 09 08:49:04 CDT 2015,24492
Thu Apr 09 08:49:10 CDT 2015,24481
Thu Apr 09 08:49:14 CDT 2015,24494
Thu Apr 09 08:49:17 CDT 2015,24433
Thu Apr 09 08:49:20 CDT 2015,24451
Thu Apr 09 08:49:24 CDT 2015,24424
Thu Apr 09 08:49:27 CDT 2015,24448
Thu Apr 09 08:49:29 CDT 2015,24448
Thu Apr 09 08:49:33 CDT 2015,24451
Thu Apr 09 08:49:35 CDT 2015,24480
Thu Apr 09 08:49:38 CDT 2015,24452
Thu Apr 09 08:49:39 CDT 2015,24418
Thu Apr 09 08:49:42 CDT 2015,24442
Thu Apr 09 08:49:43 CDT 2015,24403
Thu Apr 09 08:49:46 CDT 2015,24384
Thu Apr 09 08:49:48 CDT 2015,24455
Thu Apr 09 08:49:51 CDT 2015,24441
Thu Apr 09 08:49:54 CDT 2015,24433
Thu Apr 09 08:49:56 CDT 2015,24413
Thu Apr 09 08:49:58 CDT 2015,24433
Thu Apr 09 08:50:02 CDT 2015,24474
Thu Apr 09 08:50:05 CDT 2015,24424
Thu Apr 09 08:50:08 CDT 2015,24434
Thu Apr 09 08:50:10 CDT 2015,24394
Thu Apr 09 08:50:13 CDT 2015,24369
Thu Apr 09 08:50:14 CDT 2015,24381
Thu Apr 09 08:50:16 CDT 2015,24365
Thu Apr 09 08:50:17 CDT 2015,24368
Thu Apr 09 08:50:20 CDT 2015,24331
Thu Apr 09 08:50:22 CDT 2015,24334
Thu Apr 09 08:50:26 CDT 2015,24498
Thu Apr 09 08:50:28 CDT 2015,24494
Thu Apr 09 08:50:31 CDT 2015,24513
Thu Apr 09 08:50:36 CDT 2015,24492
Thu Apr 09 08:50:37 CDT 2015,24472
Thu Apr 09 08:50:39 CDT 2015,24457
Thu Apr 09 08:50:41 CDT 2015,24473
Thu Apr 09 08:50:42 CDT 2015,24486
Thu Apr 09 08:50:44 CDT 2015,24488
Thu Apr 09 08:50:46 CDT 2015,24489
Thu Apr 09 08:50:49 CDT 2015,24426
Thu Apr 09 08:50:52 CDT 2015,24482
Thu Apr 09 08:50:54 CDT 2015,24488
Thu Apr 09 08:50:57 CDT 2015,24520
Thu Apr 09 08:50:59 CDT 2015,24481
Thu Apr 09 08:51:01 CDT 2015,24476
Thu Apr 09 08:51:02 CDT 2015,24484
Thu Apr 09 08:51:04 CDT 2015,24531
Thu Apr 09 08:51:07 CDT 2015,24507
Thu Apr 09 08:51:08 CDT 2015,24501
Thu Apr 09 08:51:11 CDT 2015,24495
Thu Apr 09 08:51:12 CDT 2015,24500
Thu Apr 09 08:51:14 CDT 2015,24515
Thu Apr 09 08:51:17 CDT 2015,24538
Thu Apr 09 08:51:19 CDT 2015,24510
Thu Apr 09 08:51:22 CDT 2015,24321
Thu Apr 09 08:51:26 CDT 2015,24402
Thu Apr 09 08:51:31 CDT 2015,24429
Thu Apr 09 08:51:34 CDT 2015,24433
Thu Apr 09 08:51:36 CDT 2015,24418
Thu Apr 09 08:51:38 CDT 2015,24412
Thu Apr 09 08:51:40 CDT 2015,24416
Thu Apr 09 08:51:42 CDT 2015,24431
Thu Apr 09 08:51:44 CDT 2015,24439
Thu Apr 09 08:51:47 CDT 2015,24446
Thu Apr 09 08:51:49 CDT 2015,24432
Thu Apr 09 08:51:51 CDT 2015,24425
Thu Apr 09 08:51:53 CDT 2015,24430
Thu Apr 09 08:51:56 CDT 2015,24423
Thu Apr 09 08:51:58 CDT 2015,24433
Thu Apr 09 08:52:00 CDT 2015,24431
Thu Apr 09 08:52:02 CDT 2015,24433
Thu Apr 09 08:52:05 CDT 2015,24426
Thu Apr 09 08:52:08 CDT 2015,24093
Thu Apr 09 08:52:10 CDT 2015,24419
Thu Apr 09 08:52:13 CDT 2015,24409
Thu Apr 09 08:52:17 CDT 2015,24503
Thu Apr 09 08:52:19 CDT 2015,24474
Thu Apr 09 08:52:22 CDT 2015,24482
Thu Apr 09 08:52:24 CDT 2015,24470
Thu Apr 09 08:52:27 CDT 2015,24470
Thu Apr 09 08:52:32 CDT 2015,24480
Thu Apr 09 08:52:34 CDT 2015,24475
Thu Apr 09 08:52:39 CDT 2015,24476
Thu Apr 09 08:52:43 CDT 2015,24505
Thu Apr 09 08:52:47 CDT 2015,24503
Thu Apr 09 08:52:49 CDT 2015,24494
Thu Apr 09 08:52:55 CDT 2015,24525
Thu Apr 09 08:52:56 CDT 2015,24522
Thu Apr 09 08:52:59 CDT 2015,24514
Thu Apr 09 08:53:00 CDT 2015,24500
Thu Apr 09 08:53:02 CDT 2015,24508
Thu Apr 09 08:53:06 CDT 2015,24242
